,,,,,Rail Diameter (m),Item/Specifications,Distance (cm),Time (s),Starting Point (cm),Ending Point,Velocity (m/s),Current,Rail spacing outer to outer (m),Rail Spacing between,Position (cm),Magnetic Field (mT),Magnetic Field (T),Force (N),Work (J),Map
,,,,,0.0052,Small Aluminum Ball,4,0.81,1.5,5.5,0.04938271605,4.61,0.0153,0.0049,0,-3.2,-0.0032,-0.0000722848,-0.000000722848,-0.0258
Position (cm),Magnetic Field (mT),,,,,0.1933g,5.2,1.1,1.5,6.7,0.04727272727,4.61,0.0153,0.0049,1,-11.7,-0.0117,-0.0002642913,-0.000002642913,
0,-3.2,,,,,Magnetic Field of permanent magnets facing opposite direction as induced magnetic field,6.7,2.6,7.8,14.5,0.02576923077,4.61,0.0136,0.0032,2,-25.8,-0.0258,-0.0003806016,-0.000003806016,
1,-11.7,,,,,,4,1.33,14,18,0.03007518797,4.61,0.0138,0.0034,3,-28.9,-0.0289,-0.0004529786,-0.000004529786,
2,-25.8,,,,,,4.2,0.9,1.5,5.7,0.04666666667,4.61,0.0139,0.0035,4,-27.1,-0.0271,-0.0004372585,-0.000004372585,
3,-28.9,,,,,,6,1.2,8,14,0.05,4.61,0.0134,0.003,5,-25.6,-0.0256,-0.000354048,-0.00000354048,
4,-27.1,,,,,,7.3,1.33,14.2,21.5,0.05488721805,4.61,0.0131,0.0027,6,-19.6,-0.0196,-0.0002439612,-0.000002439612,
5,-25.6,,,,,,12,1.73,8,20,0.06936416185,4.61,0.0134,0.003,7,-23.2,-0.0232,-0.000320856,-0.00000320856,
6,-19.6,,,,,,13.7,2.01,7.8,21.5,0.06815920398,4.61,0.0135,0.0031,8,-40.1,-0.0401,-0.0005730691,-0.000005730691,
7,-23.2,,,,,,5.6,1.3,1.3,6.9,0.04307692308,4.61,0.0133,0.0029,9,-58.6,-0.0586,-0.0007834234,-0.000007834234,
8,-40.1,,,,,,2.7,0.83,8,10.7,0.03253012048,4.61,0.0137,0.0033,10,-67.6,-0.0676,-0.0010283988,-0.000010283988,
9,-58.6,,,,,,4,0.9,9.5,13.5,0.04444444444,4.61,0.0137,0.0033,11,-61.2,-0.0612,-0.0009310356,-0.000009310356,
10,-67.6,,,,,,10.5,1.76,1.5,12,0.05965909091,4.61,0.0135,0.0031,12,-49,-0.049,-0.000700259,-0.00000700259,
11,-61.2,,,,,,19.3,3.25,1.5,20.8,0.05938461538,4.61,0.0137,0.0033,13,-28.6,-0.0286,-0.0004350918,-0.000004350918,
12,-49,,,,,,12.3,2.25,1.5,13.8,0.05466666667,4.61,0.0134,0.003,14,-20.2,-0.0202,-0.000279366,-0.00000279366,
13,-28.6,,,,,,8.4,2.11,1.5,9.9,0.03981042654,4.61,0.0135,0.0031,15,-18.8,-0.0188,-0.0002686708,-0.000002686708,
14,-20.2,,,,,,10.8,2.35,1.5,12.3,0.04595744681,4.61,0.014,0.0036,16,-22.7,-0.0227,-0.0003767292,-0.000003767292,
15,-18.8,,,,,,15.4,3,0.7,16.1,0.05133333333,4.61,0.0141,0.0037,17,-22.8,-0.0228,-0.0003888996,-0.000003888996,
16,-22.7,,,,,,10,1.65,1.4,11.4,0.06060606061,4.61,0.0143,0.0039,18,-26.6,-0.0266,-0.0004782414,-0.000004782414,
17,-22.8,,,,,,11.2,1.9,1.1,12.3,0.05894736842,4.61,0.0146,0.0042,19,-32.8,-0.0328,-0.0006350736,-0.000006350736,
18,-26.6,,,,,Magnetic Field of permanent magnets facing same direction as induced magnetic field,,Facing same direction,,,,4.61,0.0148,0.0044,20,-30.3,-0.0303,-0.0006146052,-0.000006146052,
19,-32.8,,,,,,6.4,1.13,12,5.6,0.05663716814,4.61,0.015,0.0046,21,-40.4,-0.0404,-0.0008567224,-0.000008567224,
20,-30.3,,,,,,11.5,2.01,19.6,8.1,0.05721393035,4.61,0.0152,0.0048,22,-39,-0.039,-0.000862992,-0.00000862992,
21,-40.4,,,,,,5.8,1.16,19.1,13.3,0.05,4.61,,-0.0104,,,,0,0,
22,-39,,,,,,11.6,1.23,12,0.4,0.09430894309,4.61,,-0.0104,,,,0,0,
,,,,,,,5.9,1.7,19.1,13.2,0.03470588235,4.61,,-0.0104,,,,0,0,
,,,,,,,4.4,1.11,19.1,14.7,0.03963963964,4.61,,-0.0104,,,,0,0,
,,,,,,,18.9,2.1,19.1,0.2,0.09,4.61,,-0.0104,,,,0,0,
,,,,,,,8.5,1.58,19.1,10.6,0.05379746835,4.61,,-0.0104,,,,0,0,
,,,,,,,12,1.36,12,0,0.08823529412,4.61,,-0.0104,,,,0,0,
,,,,,,,19.1,2.21,19.1,0,0.08642533937,4.61,,-0.0104,,,,0,0,
